#N WF  NWF  DOS P(N1;z=14)   "P(N1;1=14) sim"
0 -277466  0  1 1   1069
1 -277462  4  0.0183156389 0.2564189444   303
2 -277459  7  0.000911882 0.1787288652   255
3 -277456  10  4.53999297624849E-005 0.1245774073   167
4 -277454  12  6.14421235332821E-006 0.2360360618   133
5 -277451  15  3.05902320501826E-007 0.1645216096   126
6 -277448  18  1.52299797447126E-008 0.1146746808   120
7 -277445  21  7.58256042791191E-010 0.0799304264   125
8 -277443  23  1.02618796317019E-010 0.1514436965   125
9 -277440  26  5.10908902806333E-012 0.1055591274   115
10 -277437  29  2.54366564737692E-013 0.0735767129   125
11 -277435  31  3.44247710846998E-014 0.139405354   88
12 -277432  34  1.71390843154201E-015 0.0971681744   97
13 -277429  37  8.53304762574406E-017 0.0677280596   74
14 -277426  40  4.24835425529159E-018 0.0472077415   75
15 -277424  42  5.74952226429356E-019 0.0894442229   46
16 -277421  45  2.86251858054939E-020 0.062344319   66
17 -277418  48  1.42516408274094E-021 0.0434551722   46
18 -277415  51  7.0954741622847E-023 0.0302890788   61
19 -277413  53  9.60268005450868E-024 0.0573885348   61
20 -277410  56  4.78089288388547E-025 0.0400008967   56
21 -277407  59  2.3802664086944E-026 0.0278813833   50
22 -277405  61  3.22134028599252E-027 0.0528266887   40
23 -277402  64  1.60381089054864E-028 0.0368212035   54
24 -277399  67  7.98490424568698E-030 0.0256650768   62
25 -277396  70  3.97544973590865E-031 0.0178890451   42
26 -277394  72  5.38018616002114E-032 0.0338942658   45
27 -277391  75  2.67863696180808E-033 0.0236249458   41
28 -277388  78  1.33361481550226E-034 0.0164670351   34
29 -277386  80  1.80485138784542E-035 0.031199992   40
30 -277383  83  8.98582594404938E-037 0.0217469859   53
31 -277380  86  4.47377930618112E-038 0.0151580614   47
32 -277378  88  6.05460189540119E-039 0.0287198875   42
33 -277375  91  3.01440878506537E-040 0.020018306   47
34 -277372  94  1.50078576270739E-041 0.0139531388   48
35 -277370  96  2.03109266273481E-042 0.0264369279   43
36 -277367  99  1.01122149261045E-043 0.0184270399   46
37 -277364  102  5.03457535876498E-045 0.0128439961   29
38 -277362  104  6.8135568215453E-046 0.024335442   47
39 -277359  107  3.39227019302601E-047 0.0169622644   48
40 -277357  109  4.59093847388295E-048 0.0321382999   47
41 -277354  112  2.28569367671867E-049 0.0224010043   30
42 -277351  115  1.13797987350787E-050 0.0156139247   54
43 -277349  117  1.54008828498752E-051 0.0295836088   34
44 -277346  120  7.667648073722E-053 0.0206203362   46
45 -277343  123  3.81749718867117E-054 0.0143727652   40
46 -277341  125  5.16642063283786E-055 0.0272319915   46
47 -277338  128  2.57220937264241E-056 0.0189812143   39
48 -277336  130  3.48110683990431E-057 0.0359635923   50
49 -277333  133  1.73314104234155E-058 0.0250673056   50
50 -277330  136  8.62880115662096E-060 0.0174723872   63
51 -277328  138  1.16778124852371E-060 0.0331048266   51
52 -277325  141  5.81404048589594E-062 0.0230746917   59
53 -277323  143  7.8684481590786E-063 0.0437194791   69
54 -277320  146  3.9174696644504E-064 0.0304733057   79
